filename,num-closed,combination,mic,sweep,onset
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1636_mic_2_sweep_2.wav,16,1636,2,2,2340
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1883_mic_5_sweep_2.wav,19,1883,5,2,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2470_mic_3_sweep_1.wav,25,2470,3,1,2056
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1815_mic_1_sweep_1.wav,18,1815,1,1,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2303_mic_1_sweep_3.wav,23,2303,1,3,2152
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2396_mic_3_sweep_2.wav,24,2396,3,2,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1911_mic_2_sweep_1.wav,19,1911,2,1,2360
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1857_mic_5_sweep_1.wav,19,1857,5,1,1868
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2199_mic_2_sweep_4.wav,22,2199,2,4,2340
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1868_mic_1_sweep_3.wav,19,1868,1,3,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1732_mic_1_sweep_1.wav,17,1732,1,1,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2342_mic_3_sweep_2.wav,24,2342,3,2,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1733_mic_1_sweep_1.wav,17,1733,1,1,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2198_mic_2_sweep_4.wav,22,2198,2,4,2340
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1856_mic_5_sweep_3.wav,19,1856,5,3,1868
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1910_mic_2_sweep_1.wav,19,1910,2,1,2360
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2397_mic_3_sweep_1.wav,24,2397,3,1,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1814_mic_1_sweep_3.wav,18,1814,1,3,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2072_mic_4_sweep_2.wav,21,2072,4,2,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1637_mic_2_sweep_3.wav,16,1637,2,3,2340
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2455_mic_4_sweep_2.wav,25,2455,4,2,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2319_mic_2_sweep_4.wav,23,2319,2,4,2332
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2168_mic_5_sweep_1.wav,22,2168,5,1,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2513_mic_3_sweep_4.wav,25,2513,3,4,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1685_mic_1_sweep_4.wav,17,1685,1,4,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2260_mic_1_sweep_1.wav,23,2260,1,1,2152
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2056_mic_3_sweep_3.wav,21,2056,3,3,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2110_mic_4_sweep_1.wav,21,2110,4,1,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1728_mic_2_sweep_3.wav,17,1728,2,3,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2481_mic_4_sweep_2.wav,25,2481,4,2,1856
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_19_numComb_1872_mic_2_sweep_4.wav,19,1872,2,4,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2222_mic_5_sweep_1.wav,22,2222,5,1,1884
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2367_mic_4_sweep_2.wav,24,2367,4,2,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1566_mic_1_sweep_3.wav,16,1566,1,3,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2183_mic_1_sweep_2.wav,22,2183,1,2,2152
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2083_mic_3_sweep_2.wav,21,2083,3,2,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1567_mic_1_sweep_3.wav,16,1567,1,3,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2182_mic_1_sweep_4.wav,22,2182,1,4,2152
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2366_mic_4_sweep_1.wav,24,2366,4,1,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2223_mic_5_sweep_1.wav,22,2223,5,1,1884
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_16_numComb_1558_mic_5_sweep_2.wav,16,1558,5,2,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1729_mic_2_sweep_4.wav,17,1729,2,4,2324
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2429_mic_4_sweep_2.wav,24,2429,4,2,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2156_mic_1_sweep_3.wav,22,2156,1,3,2168
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2111_mic_4_sweep_2.wav,21,2111,4,2,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_21_numComb_2057_mic_3_sweep_3.wav,21,2057,3,3,2072
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_17_numComb_1684_mic_1_sweep_2.wav,17,1684,1,2,2136
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_23_numComb_2261_mic_1_sweep_2.wav,23,2261,1,2,2152
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2512_mic_3_sweep_3.wav,25,2512,3,3,2040
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2169_mic_5_sweep_1.wav,22,2169,5,1,1900
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_25_numComb_2454_mic_4_sweep_1.wav,25,2454,4,1,1888
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_18_numComb_1756_mic_5_sweep_4.wav,18,1756,5,4,1868
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_24_numComb_2407_mic_2_sweep_2.wav,24,2407,2,2,2356
/Users/dalsag1/Documents/datasets/arni/rir/IR_Arni_upload_numClosed_16-25/IR_numClosed_22_numComb_2193_mic_3_sweep_2.wav,22,2193,3,2,2056
